,date,power,temp
326,2017-08-26,55796,28.1
327,2017-08-27,54341,28.7
328,2017-08-28,61587,29.3
329,2017-08-29,59217,27.4
330,2017-08-30,56786,26.9
331,2017-08-31,57828,29.1
332,2017-09-01,55904,30.0
333,2017-09-02,50150,30.9
334,2017-09-03,49972,29.4
335,2017-09-05,58408,29.8
336,2017-09-06,63587,30.2
337,2017-09-07,59892,28.8
338,2017-09-08,53772,27.8
339,2017-09-09,51412,28.1
340,2017-09-10,48462,28.1
341,2017-09-11,53221,28.0
342,2017-09-12,55525,28.8
343,2017-09-13,56049,30.1
344,2017-09-14,55739,28.9
345,2017-09-15,52412,28.0
346,2017-09-16,46676,25.4
347,2017-09-18,55302,30.4
348,2017-09-19,58615,31.0
349,2017-09-20,57766,29.4
350,2017-09-21,58485,29.7
351,2017-09-22,56610,28.7
352,2017-09-23,53099,28.9
353,2017-09-24,52989,29.9
354,2017-09-25,54576,27.5
355,2017-09-26,54334,28.9
356,2017-09-27,57023,29.3
357,2017-09-28,58640,30.0
358,2017-09-29,59240,29.0
359,2017-09-30,55743,28.4
360,2017-10-01,50730,28.9
361,2017-10-02,56587,29.2
362,2017-10-03,50017,26.5
363,2017-10-04,52698,27.2
364,2017-10-05,52559,26.3
365,2017-10-06,51616,26.9
366,2017-10-07,47108,25.9
367,2017-10-08,44789,27.0
368,2017-10-09,51925,28.0
369,2017-10-10,50261,26.2
370,2017-10-11,49767,25.8
371,2017-10-12,50180,26.5
372,2017-10-13,48590,26.2
373,2017-10-14,45585,26.3
374,2017-10-15,41885,26.8
375,2017-10-16,43528,22.6
376,2017-10-17,42096,21.4
377,2017-10-18,42323,21.0
378,2017-10-19,43000,23.3
379,2017-10-20,43293,25.7
380,2017-10-21,43705,26.3
381,2017-10-22,41190,25.5
382,2017-10-23,42655,24.4
383,2017-10-24,43454,23.7
384,2017-10-25,44374,24.9
385,2017-10-26,45309,25.6
386,2017-10-27,46124,25.8
387,2017-10-28,44178,26.1
388,2017-10-29,40331,25.8
389,2017-10-30,42648,23.9
390,2017-10-31,42521,22.4
391,2017-11-01,45027,22.4
392,2017-11-02,45870,23.5
393,2017-11-03,45637,24.7
394,2017-11-04,42854,24.0
395,2017-11-05,39837,23.0
396,2017-11-06,42976,22.8
397,2017-11-07,40896,22.2
398,2017-11-09,44234,22.2
399,2017-11-10,45793,24.2
400,2017-11-11,44419,25.7
401,2017-11-12,41519,25.5
402,2017-11-13,46799,25.9
403,2017-11-14,48323,26.1
404,2017-11-15,48501,26.0
405,2017-11-16,49335,26.4
406,2017-11-17,50686,27.5
407,2017-11-18,45861,25.9
408,2017-11-19,39110,20.4
409,2017-11-20,41964,19.5
410,2017-11-21,42068,18.6
411,2017-11-22,42001,18.1
412,2017-11-23,41797,18.1
413,2017-11-24,41697,15.5
414,2017-11-25,40057,15.4
415,2017-11-26,37521,17.5
416,2017-11-27,40831,18.9
417,2017-11-28,41807,20.9
418,2017-11-29,42248,22.7
419,2017-11-30,42066,23.1
420,2017-12-02,39504,20.7
421,2017-12-03,37900,20.2
422,2017-12-04,42569,21.2
423,2017-12-05,43071,20.3
424,2017-12-06,43155,20.2
425,2017-12-07,43495,20.1
426,2017-12-08,43232,19.3
427,2017-12-09,41814,17.7
428,2017-12-10,38959,16.9
429,2017-12-11,42768,17.2
430,2017-12-12,43898,16.0
431,2017-12-13,44695,15.8
432,2017-12-14,44914,16.7
433,2017-12-15,44891,16.6
434,2017-12-16,42904,18.1
435,2017-12-17,39983,15.7
436,2017-12-18,43650,15.0
437,2017-12-19,44309,14.8
438,2017-12-20,44677,14.1
439,2017-12-21,44442,16.0
440,2017-12-22,43919,17.5
441,2017-12-23,42314,16.7
442,2017-12-24,39367,18.8
443,2017-12-25,40788,16.5
444,2017-12-27,41761,15.3
445,2017-12-28,42133,15.9
446,2017-12-29,47844,17.9
447,2017-12-30,46038,18.3
448,2017-12-31,45721,17.7
449,2018-01-01,35735,17.7
450,2018-01-02,42679,18.0
451,2018-01-03,45626,19.4
452,2018-01-04,46061,19.9
453,2018-01-05,46113,20.5
